surface,station,airfoil,point,x_m,y_m,z_m
wing,2,sd7037,29,0.445554,0.576973,0.024918
wing,2,sd7037,30,0.443943,0.577034,0.023268
wing,2,sd7037,31,0.443157,0.577089,0.021782
wing,2,sd7037,32,0.443367,0.577132,0.020639
wing,2,sd7037,33,0.444711,0.577165,0.019756
wing,2,sd7037,34,0.44715,0.577193,0.018989
wing,2,sd7037,35,0.450638,0.577216,0.018367
wing,2,sd7037,36,0.45514,0.577233,0.017901
wing,2,sd7037,37,0.460623,0.577245,0.01759
wing,2,sd7037,38,0.467037,0.577251,0.017426
wing,2,sd7037,39,0.474324,0.577252,0.017396
wing,2,sd7037,40,0.482411,0.577249,0.017485
wing,2,sd7037,41,0.491212,0.577242,0.017675
wing,2,sd7037,42,0.500633,0.577232,0.017946
wing,2,sd7037,43,0.510563,0.577219,0.018278
wing,2,sd7037,44,0.520891,0.577205,0.018654
wing,2,sd7037,45,0.531492,0.57719,0.019062
wing,2,sd7037,46,0.542243,0.577175,0.019485
wing,2,sd7037,47,0.553022,0.577159,0.019913
wing,2,sd7037,48,0.563702,0.577143,0.02033
wing,2,sd7037,49,0.574161,0.577129,0.020726
wing,2,sd7037,50,0.584273,0.577115,0.021084
wing,2,sd7037,51,0.593919,0.577104,0.021388
wing,2,sd7037,52,0.602974,0.577095,0.021622
wing,2,sd7037,53,0.611312,0.57709,0.021776
wing,2,sd7037,54,0.618819,0.577087,0.021851
wing,2,sd7037,55,0.625382,0.577087,0.021847
wing,2,sd7037,56,0.630901,0.577089,0.021782
wing,2,sd7037,57,0.635292,0.577093,0.021677
wing,2,sd7037,58,0.638485,0.577098,0.021556
wing,2,sd7037,59,0.640427,0.577101,0.021458
wing,2,sd7037,60,0.641078,0.577103,0.021416
wing,3,sd7037,0,0.641078,0.87565,0.032495
wing,3,sd7037,1,0.640551,0.875647,0.032562
wing,3,sd7037,2,0.639002,0.875639,0.032784
wing,3,sd7037,3,0.636495,0.875624,0.033195
wing,3,sd7037,4,0.633115,0.875602,0.033796
wing,3,sd7037,5,0.628954,0.875573,0.034573
wing,3,sd7037,6,0.624096,0.875539,0.035488
wing,3,sd7037,7,0.61862,0.875502,0.036491
wing,3,sd7037,8,0.612592,0.875463,0.037535
wing,3,sd7037,9,0.606072,0.875424,0.038574
wing,3,sd7037,10,0.599109,0.875387,0.039577
wing,3,sd7037,11,0.591769,0.875352,0.040536
wing,3,sd7037,12,0.584133,0.875318,0.041437
wing,3,sd7037,13,0.57629,0.875288,0.04226
wing,3,sd7037,14,0.568322,0.875261,0.042987
wing,3,sd7037,15,0.560314,0.875238,0.043595
wing,3,sd7037,16,0.552347,0.875221,0.044067
wing,3,sd7037,17,0.544506,0.875209,0.044386
wing,3,sd7037,18,0.536861,0.875203,0.044537
wing,3,sd7037,19,0.529485,0.875204,0.044511
wing,3,sd7037,20,0.522447,0.875212,0.044303
wing,3,sd7037,21,0.515805,0.875226,0.043909
wing,3,sd7037,22,0.509619,0.875248,0.043333
wing,3,sd7037,23,0.503941,0.875276,0.042582
wing,3,sd7037,24,0.498817,0.87531,0.041666
wing,3,sd7037,25,0.494282,0.875349,0.040597
wing,3,sd7037,26,0.490363,0.875394,0.039395
wing,3,sd7037,27,0.487081,0.875442,0.038089
wing,3,sd7037,28,0.484447,0.875493,0.036719
wing,3,sd7037,29,0.482472,0.875545,0.035335
wing,3,sd7037,30,0.481165,0.875594,0.033997
wing,3,sd7037,31,0.480528,0.875639,0.032792
wing,3,sd7037,32,0.480698,0.875673,0.031864
wing,3,sd7037,33,0.481788,0.8757,0.031149
wing,3,sd7037,34,0.483767,0.875723,0.030526
wing,3,sd7037,35,0.486596,0.875742,0.030022
wing,3,sd7037,36,0.490248,0.875756,0.029643
wing,3,sd7037,37,0.494696,0.875765,0.029391
wing,3,sd7037,38,0.499899,0.87577,0.029258
wing,3,sd7037,39,0.50581,0.875771,0.029234
wing,3,sd7037,40,0.51237,0.875768,0.029306
wing,3,sd7037,41,0.519509,0.875763,0.02946
wing,3,sd7037,42,0.527152,0.875754,0.02968
wing,3,sd7037,43,0.535207,0.875744,0.02995
wing,3,sd7037,44,0.543584,0.875733,0.030255
wing,3,sd7037,45,0.552184,0.875721,0.030585
wing,3,sd7037,46,0.560905,0.875708,0.030929
wing,3,sd7037,47,0.569649,0.875695,0.031275
wing,3,sd7037,48,0.578312,0.875683,0.031614
wing,3,sd7037,49,0.586796,0.875671,0.031935
wing,3,sd7037,50,0.594999,0.87566,0.032225
wing,3,sd7037,51,0.602824,0.875651,0.032472
wing,3,sd7037,52,0.610169,0.875644,0.032662
wing,3,sd7037,53,0.616933,0.875639,0.032787
wing,3,sd7037,54,0.623022,0.875637,0.032848
wing,3,sd7037,55,0.628345,0.875637,0.032845
wing,3,sd7037,56,0.632823,0.875639,0.032792
wing,3,sd7037,57,0.636384,0.875642,0.032707
wing,3,sd7037,58,0.638975,0.875646,0.032609
wing,3,sd7037,59,0.64055,0.875649,0.032529
wing,3,sd7037,60,0.641078,0.87565,0.032495
wing,4,sd7037,0,0.641078,0.999312,0.037084
wing,4,sd7037,1,0.640619,0.99931,0.037143
