surface,station,airfoil,point,x_m,y_m,z_m
wing,2,sd7037,59,0.664237,0.730626,0.054177
wing,2,sd7037,60,0.665,0.730629,0.054128
wing,3,sd7037,0,0.665,0.919171,0.068096
wing,3,sd7037,1,0.664371,0.919165,0.068176
wing,3,sd7037,2,0.662522,0.919145,0.06844
wing,3,sd7037,3,0.65953,0.919109,0.068929
wing,3,sd7037,4,0.655495,0.919056,0.069646
wing,3,sd7037,5,0.650529,0.918987,0.070571
wing,3,sd7037,6,0.644731,0.918907,0.071661
wing,3,sd7037,7,0.638195,0.918818,0.072856
wing,3,sd7037,8,0.630999,0.918726,0.0741
wing,3,sd7037,9,0.623217,0.918634,0.075337
wing,3,sd7037,10,0.614906,0.918546,0.076531
wing,3,sd7037,11,0.606145,0.918461,0.077675
wing,3,sd7037,12,0.597031,0.918382,0.078747
wing,3,sd7037,13,0.58767,0.918309,0.079727
wing,3,sd7037,14,0.578159,0.918245,0.080593
wing,3,sd7037,15,0.5686,0.918191,0.081318
wing,3,sd7037,16,0.559091,0.918149,0.08188
wing,3,sd7037,17,0.549732,0.918121,0.08226
wing,3,sd7037,18,0.540606,0.918108,0.08244
wing,3,sd7037,19,0.531803,0.91811,0.082409
wing,3,sd7037,20,0.523402,0.918129,0.082161
wing,3,sd7037,21,0.515474,0.918163,0.081692
wing,3,sd7037,22,0.508091,0.918214,0.081006
wing,3,sd7037,23,0.501314,0.91828,0.080112
wing,3,sd7037,24,0.495197,0.918361,0.07902
wing,3,sd7037,25,0.489785,0.918456,0.077747
wing,3,sd7037,26,0.485108,0.918562,0.076315
wing,3,sd7037,27,0.48119,0.918677,0.07476
wing,3,sd7037,28,0.478046,0.918798,0.073127
wing,3,sd7037,29,0.475689,0.91892,0.071479
wing,3,sd7037,30,0.474129,0.919038,0.069885
wing,3,sd7037,31,0.473368,0.919144,0.06845
wing,3,sd7037,32,0.473571,0.919226,0.067345
wing,3,sd7037,33,0.474872,0.919289,0.066492
wing,3,sd7037,34,0.477234,0.919344,0.065751
wing,3,sd7037,35,0.480611,0.919389,0.06515
wing,3,sd7037,36,0.48497,0.919422,0.064699
wing,3,sd7037,37,0.490279,0.919445,0.064399
wing,3,sd7037,38,0.496489,0.919456,0.064241
wing,3,sd7037,39,0.503545,0.919458,0.064212
wing,3,sd7037,40,0.511374,0.919452,0.064298
wing,3,sd7037,41,0.519896,0.919438,0.064481
wing,3,sd7037,42,0.529018,0.919419,0.064743
wing,3,sd7037,43,0.538632,0.919395,0.065064
wing,3,sd7037,44,0.548632,0.919368,0.065428
wing,3,sd7037,45,0.558896,0.919339,0.065821
wing,3,sd7037,46,0.569306,0.919309,0.06623
wing,3,sd7037,47,0.579742,0.919278,0.066643
wing,3,sd7037,48,0.590083,0.919248,0.067047
wing,3,sd7037,49,0.600209,0.91922,0.067429
wing,3,sd7037,50,0.61,0.919194,0.067775
wing,3,sd7037,51,0.61934,0.919173,0.068069
wing,3,sd7037,52,0.628107,0.919156,0.068295
wing,3,sd7037,53,0.63618,0.919145,0.068444
wing,3,sd7037,54,0.643448,0.919139,0.068517
wing,3,sd7037,55,0.649802,0.91914,0.068513
wing,3,sd7037,56,0.655146,0.919144,0.06845
wing,3,sd7037,57,0.659397,0.919152,0.068348
wing,3,sd7037,58,0.662489,0.919161,0.068232
wing,3,sd7037,59,0.664369,0.919168,0.068136
wing,3,sd7037,60,0.665,0.919171,0.068096
